feature,importance
categorical__sprint_id_S4081,0.0
categorical__sprint_id_S4080,0.0
categorical__sprint_id_S408,0.0
categorical__sprint_id_S4065,0.0
categorical__sprint_id_S4054,0.0
categorical__sprint_id_S4055,0.0
categorical__sprint_id_S4057,0.0
categorical__sprint_id_S4058,0.0
categorical__sprint_id_S4059,0.0
categorical__sprint_id_S4061,0.0
categorical__sprint_id_S4063,0.0
categorical__sprint_id_S4064,0.0
categorical__sprint_id_S4066,0.0
categorical__sprint_id_S4079,0.0
categorical__sprint_id_S4067,0.0
categorical__sprint_id_S4068,0.0
categorical__sprint_id_S407,0.0
categorical__sprint_id_S4070,0.0
categorical__sprint_id_S4071,0.0
categorical__sprint_id_S4074,0.0
categorical__sprint_id_S4075,0.0
categorical__sprint_id_S4076,0.0
categorical__sprint_id_S4105,0.0
categorical__sprint_id_S4107,0.0
categorical__sprint_id_S4166,0.0
categorical__sprint_id_S4108,0.0
categorical__sprint_id_S4139,0.0
categorical__sprint_id_S414,0.0
categorical__sprint_id_S4143,0.0
categorical__sprint_id_S4144,0.0
categorical__sprint_id_S4146,0.0
categorical__sprint_id_S4147,0.0
categorical__sprint_id_S4148,0.0
categorical__sprint_id_S415,0.0
categorical__sprint_id_S4150,0.0
categorical__sprint_id_S4152,0.0
categorical__sprint_id_S4153,0.0
categorical__sprint_id_S4154,0.0
categorical__sprint_id_S4155,0.0
categorical__sprint_id_S4157,0.0
categorical__sprint_id_S4158,0.0
categorical__sprint_id_S4159,0.0
categorical__sprint_id_S416,0.0
categorical__sprint_id_S4163,0.0
categorical__sprint_id_S4164,0.0
categorical__sprint_id_S4138,0.0
categorical__sprint_id_S4137,0.0
categorical__sprint_id_S4136,0.0
categorical__sprint_id_S4119,0.0
categorical__sprint_id_S4109,0.0
categorical__sprint_id_S411,0.0
categorical__sprint_id_S4112,0.0
categorical__sprint_id_S4113,0.0
categorical__sprint_id_S4114,0.0
categorical__sprint_id_S4116,0.0
categorical__sprint_id_S4117,0.0
categorical__sprint_id_S4118,0.0
categorical__sprint_id_S4120,0.0
categorical__sprint_id_S4134,0.0
categorical__sprint_id_S4121,0.0
categorical__sprint_id_S4122,0.0
categorical__sprint_id_S4124,0.0
categorical__sprint_id_S4125,0.0
categorical__sprint_id_S4126,0.0
categorical__sprint_id_S413,0.0
categorical__sprint_id_S4306,0.0
categorical__sprint_id_S4133,0.0
categorical__sprint_id_S4305,0.0
categorical__sprint_id_S4336,0.0
categorical__sprint_id_S4307,0.0
categorical__sprint_id_S447,0.0
categorical__sprint_id_S4443,0.0
categorical__sprint_id_S4444,0.0
categorical__sprint_id_S4445,0.0
categorical__sprint_id_S4446,0.0
categorical__sprint_id_S4447,0.0
categorical__sprint_id_S4449,0.0
categorical__sprint_id_S4450,0.0
categorical__sprint_id_S4452,0.0
categorical__sprint_id_S4453,0.0
categorical__sprint_id_S4454,0.0
categorical__sprint_id_S4455,0.0
categorical__sprint_id_S4456,0.0
categorical__sprint_id_S4457,0.0
categorical__sprint_id_S4458,0.0
categorical__sprint_id_S4459,0.0
categorical__sprint_id_S446,0.0
categorical__sprint_id_S4462,0.0
categorical__sprint_id_S4464,0.0
categorical__sprint_id_S4465,0.0
categorical__sprint_id_S4441,0.0
categorical__sprint_id_S4438,0.0
categorical__sprint_id_S4437,0.0
categorical__sprint_id_S4420,0.0
categorical__sprint_id_S4412,0.0
categorical__sprint_id_S4413,0.0
categorical__sprint_id_S4414,0.0
categorical__sprint_id_S4415,0.0
categorical__sprint_id_S4416,0.0
categorical__sprint_id_S4418,0.0
categorical__sprint_id_S4419,0.0
categorical__sprint_id_S442,0.0
categorical__sprint_id_S4421,0.0
categorical__sprint_id_S4435,0.0
categorical__sprint_id_S4422,0.0
categorical__sprint_id_S4423,0.0
categorical__sprint_id_S4424,0.0
categorical__sprint_id_S4426,0.0
categorical__sprint_id_S4428,0.0
categorical__sprint_id_S4429,0.0
categorical__sprint_id_S4430,0.0
categorical__sprint_id_S4431,0.0
categorical__sprint_id_S4467,0.0
categorical__sprint_id_S4472,0.0
categorical__sprint_id_S4410,0.0
categorical__sprint_id_S4473,0.0
categorical__sprint_id_S4510,0.0
categorical__sprint_id_S4514,0.0
categorical__sprint_id_S4518,0.0
categorical__sprint_id_S452,0.0
categorical__sprint_id_S4520,0.0
categorical__sprint_id_S4521,0.0
categorical__sprint_id_S4522,0.0
categorical__sprint_id_S4523,0.0
categorical__sprint_id_S4524,0.0
categorical__sprint_id_S4525,0.0
categorical__sprint_id_S4526,0.0
categorical__sprint_id_S4527,0.0
categorical__sprint_id_S4531,0.0
categorical__sprint_id_S4533,0.0
categorical__sprint_id_S4534,0.0
categorical__sprint_id_S4536,0.0
categorical__sprint_id_S4538,0.0
categorical__sprint_id_S4539,0.0
categorical__sprint_id_S4540,0.0
categorical__sprint_id_S451,0.0
categorical__sprint_id_S4508,0.0
categorical__sprint_id_S4505,0.0
categorical__sprint_id_S4491,0.0
categorical__sprint_id_S4474,0.0
categorical__sprint_id_S4475,0.0
categorical__sprint_id_S4476,0.0
categorical__sprint_id_S4478,0.0
categorical__sprint_id_S4484,0.0
categorical__sprint_id_S4487,0.0
categorical__sprint_id_S449,0.0
categorical__sprint_id_S4490,0.0
categorical__sprint_id_S4492,0.0
categorical__sprint_id_S4503,0.0
categorical__sprint_id_S4494,0.0
categorical__sprint_id_S4496,0.0
categorical__sprint_id_S4497,0.0
categorical__sprint_id_S4498,0.0
categorical__sprint_id_S45,0.0
categorical__sprint_id_S450,0.0
categorical__sprint_id_S4500,0.0
categorical__sprint_id_S4502,0.0
categorical__sprint_id_S4411,0.0
categorical__sprint_id_S441,0.0
categorical__sprint_id_S4308,0.0
categorical__sprint_id_S4355,0.0
categorical__sprint_id_S4333,0.0
categorical__sprint_id_S4334,0.0
categorical__sprint_id_S4051,0.0
categorical__sprint_id_S4338,0.0
categorical__sprint_id_S4339,0.0
categorical__sprint_id_S434,0.0
categorical__sprint_id_S4340,0.0
categorical__sprint_id_S4341,0.0
categorical__sprint_id_S4342,0.0
categorical__sprint_id_S4344,0.0
categorical__sprint_id_S4345,0.0
categorical__sprint_id_S4346,0.0
categorical__sprint_id_S4347,0.0
categorical__sprint_id_S4348,0.0
categorical__sprint_id_S4349,0.0
categorical__sprint_id_S435,0.0
categorical__sprint_id_S4351,0.0
categorical__sprint_id_S4352,0.0
categorical__sprint_id_S4353,0.0
categorical__sprint_id_S4332,0.0
categorical__sprint_id_S4331,0.0
categorical__sprint_id_S4330,0.0
categorical__sprint_id_S4318,0.0
categorical__sprint_id_S4309,0.0
categorical__sprint_id_S431,0.0
categorical__sprint_id_S4310,0.0
categorical__sprint_id_S4311,0.0
categorical__sprint_id_S4312,0.0
categorical__sprint_id_S4313,0.0
categorical__sprint_id_S4316,0.0
categorical__sprint_id_S4317,0.0
categorical__sprint_id_S432,0.0
categorical__sprint_id_S433,0.0
categorical__sprint_id_S4322,0.0
categorical__sprint_id_S4323,0.0
categorical__sprint_id_S4324,0.0
categorical__sprint_id_S4325,0.0
categorical__sprint_id_S4326,0.0
categorical__sprint_id_S4327,0.0
categorical__sprint_id_S4328,0.0
categorical__sprint_id_S4329,0.0
categorical__sprint_id_S4354,0.0
categorical__sprint_id_S4358,0.0
categorical__sprint_id_S4409,0.0
categorical__sprint_id_S4359,0.0
categorical__sprint_id_S4386,0.0
categorical__sprint_id_S4387,0.0
categorical__sprint_id_S4388,0.0
categorical__sprint_id_S4389,0.0
categorical__sprint_id_S4390,0.0
categorical__sprint_id_S4391,0.0
categorical__sprint_id_S4392,0.0
categorical__sprint_id_S4393,0.0
categorical__sprint_id_S4395,0.0
